SI. No.,Region,x_111,x_110,x_101,x_011,x_100,x_010,x_001,x_0,,Female Population Size(15-49 years)
1,Ahafo,23,29,24,24,68,45,79,292,,571929
2,Ashanti ,174,188,215,190,390,435,550,2142,,637629
3,Bono,134,168,141,139,245,242,394,1463,,1487470
4,Bono East,54,55,59,67,76,80,187,578,,459072
5,Central,175,268,209,188,478,387,486,2191,,811662
6,Eastern,108,228,118,117,331,354,430,1686,,1559605
7,Greater Accra,448,668,531,470,1122,1228,1243,5710,,245102
8,North East,4,6,5,4,30,14,65,128,,153596
9,Northern,76,77,95,81,132,128,214,803,,293073
10,Oti,23,24,40,36,74,47,179,423,,284288
11,Savannah,1,7,3,4,10,23,56,104,,182359
12,Upper East,40,41,51,44,92,83,164,515,,463527
13,Upper West,11,12,14,12,25,27,131,232,,141398
14,Volta,16,45,24,24,83,85,179,456,,140030
15,Western,42,135,46,50,258,324,565,1420,,300157
16,Western North,5,15,5,5,16,31,39,116,,204319
